category,text,text_final
weather,what's the temperature going to be like this week,"[""'s"", 'temperature', 'go', 'like', 'week']"
weather,give me the weekly weather forecast,"['give', 'weekly', 'weather', 'forecast']"
schedule,please set reminder for the 8th at 5 pm for yoga. my aunt is coming along,"['please', 'set', 'reminder', '8th', '5', 'pm', 'yoga', '.', 'aunt', 'come', 'along']"
weather,Will there be clear skies in Redwood City next week?,"['clear', 'sky', 'redwood', 'city', 'next', 'week']"
schedule,Set a reminder for dentist appointment at 5 pm on the 2nd with Ana. ,"['set', 'reminder', 'dentist', 'appointment', '5', 'pm', '2nd', 'ana', '.']"
weather,Will it be dry in Fresno on Sunday?,"['dry', 'fresno', 'sunday']"
weather,Will it be frost in San Jose tomorrow?,"['frost', 'san', 'jose', 'tomorrow']"
schedule,Remind me about my optometrist appointment at 11am on Monday the 1st with Jeff,"['remind', 'optometrist', 'appointment', '11am', 'monday', '1st', 'jeff']"
weather,check the weather for today,"['check', 'weather', 'today']"
navigate,Where can I go shopping?,"['where', 'go', 'shop']"
weather,what's the temperature going to be like on friday,"[""'s"", 'temperature', 'go', 'like', 'friday']"
navigate,What hospitals are here?,['hospitals']
navigate,Where is there a coffee or tea place around. Find me one that will get me there the quickest with the least traffic,"['where', 'coffee', 'tea', 'place', 'around', '.', 'find', 'one', 'get', 'quickest', 'least', 'traffic']"
weather,Is it currently rainy in Fresno,"['currently', 'rainy', 'fresno']"
navigate,Find a coffee shop near my location.,"['find', 'coffee', 'shop', 'near', 'location', '.']"
weather,is it going to snow any this week,"['go', 'snow', 'week']"
schedule,what time is the meeting,"['time', 'meet']"
navigate,navigate to the nearest place to get coffee,"['navigate', 'nearest', 'place', 'get', 'coffee']"
weather,Is it gonna be misty in Corona on Monday?,"['gon', 'na', 'misty', 'corona', 'monday']"
weather,is it going to snow in the next 7 days,"['go', 'snow', 'next', '7', 'days']"
navigate,Where can I get gas?,"['where', 'get', 'gas']"
navigate,Need the quickest route to home.,"['need', 'quickest', 'route', 'home', '.']"
schedule,I would like to know what time and day my tennis is. ,"['would', 'like', 'know', 'time', 'day', 'tennis', '.']"
weather,what is today's forecast,"['today', ""'s"", 'forecast']"
weather,tell me the weather forecast for this week,"['tell', 'weather', 'forecast', 'week']"
schedule,"Hi car, I need to find out the time and date for my dinner please. ","['hi', 'car', 'need', 'find', 'time', 'date', 'dinner', 'please', '.']"
schedule,check to see if i have any meetings or conferences in the near future,"['check', 'see', 'meet', 'conferences', 'near', 'future']"
weather,what's the weather like in new york city,"[""'s"", 'weather', 'like', 'new', 'york', 'city']"
navigate,find me a hotel somewhere near my current location,"['find', 'hotel', 'somewhere', 'near', 'current', 'location']"
navigate,Where can I get pizza?,"['where', 'get', 'pizza']"
weather,car is it going to snow today,"['car', 'go', 'snow', 'today']"
schedule,remind me to go get a shot tomorrow,"['remind', 'go', 'get', 'shoot', 'tomorrow']"
schedule,What day and time is my lab appointment?,"['day', 'time', 'lab', 'appointment']"
navigate,"Car I need to rest, please find some rest stop near me in the direction we're going now","['car', 'need', 'rest', 'please', 'find', 'rest', 'stop', 'near', 'direction', ""'re"", 'go']"
schedule,I need a reminder set for football activity on August 22th at 5 pm with Jeff. ,"['need', 'reminder', 'set', 'football', 'activity', 'august', '22th', '5', 'pm', 'jeff', '.']"
weather,search today's forecast,"['search', 'today', ""'s"", 'forecast']"
schedule,when is the meeting,"['when', 'meet']"
schedule,set reminder to make doctor's appointment,"['set', 'reminder', 'make', 'doctor', ""'s"", 'appointment']"
schedule,Find out the time and parties attending for my yoga activity. ,"['find', 'time', 'party', 'attend', 'yoga', 'activity', '.']"
weather,what will the temperature be for the next week,"['temperature', 'next', 'week']"
weather,what's the weekly forecast for cleveland,"[""'s"", 'weekly', 'forecast', 'cleveland']"
navigate,Find my home address for me around here in this area.,"['find', 'home', 'address', 'around', 'area', '.']"
schedule,Schedule a conference with the sales team on the 6th at 9am.,"['schedule', 'conference', 'sales', 'team', '6th', '9am', '.']"
navigate,Car I'm desiring coffee: which one is the closest to my position?,"['car', ""'m"", 'desire', 'coffee', ':', 'one', 'closest', 'position']"
weather,car what is the temperature going to be today and tomorrow,"['car', 'temperature', 'go', 'today', 'tomorrow']"
weather,Is there any rain in the current weather forecast in Inglewood?,"['rain', 'current', 'weather', 'forecast', 'inglewood']"
navigate,I need help finding a grocery store.,"['need', 'help', 'find', 'grocery', 'store', '.']"
schedule,What is the date of my swimming activity and who is attending?,"['date', 'swim', 'activity', 'who', 'attend']"
weather,is it going to rain in the next 7 days,"['go', 'rain', 'next', '7', 'days']"
navigate,give me directions to the nearest place to get to eat,"['give', 'directions', 'nearest', 'place', 'get', 'eat']"
schedule,What is the date of my Nextt dentist appointment and who will be attending it?,"['date', 'nextt', 'dentist', 'appointment', 'who', 'attend']"
navigate,"How far away from home am I, i need to the route with the shortest distance and the address","['far', 'away', 'home', 'need', 'route', 'shortest', 'distance', 'address']"
navigate,I need to find a shopping center. ,"['need', 'find', 'shop', 'center', '.']"
weather,will it snow this week,"['snow', 'week']"
schedule,What people have sent an RSVP or responded for the party so far? What time will the party begin? What activities are on the agenda for the party?,"['people', 'send', 'rsvp', 'respond', 'party', 'far', 'time', 'party', 'begin', 'activities', 'agenda', 'party']"
navigate,Car I need a parking garage within 5 miles of my current position,"['car', 'need', 'park', 'garage', 'within', '5', 'miles', 'current', 'position']"
schedule,set an appointment for swimming,"['set', 'appointment', 'swim']"
navigate,find me a hotel room for tonight,"['find', 'hotel', 'room', 'tonight']"
weather,what's the weather like,"[""'s"", 'weather', 'like']"
navigate,Where can I get tea?,"['where', 'get', 'tea']"
weather,please check the weather for this week,"['please', 'check', 'weather', 'week']"
schedule,What day and time do I need to take my meds?,"['day', 'time', 'need', 'take', 'meds']"
weather,what is the current temperature,"['current', 'temperature']"
weather,what is the forecast for this week,"['forecast', 'week']"
schedule,What time is my next yoga activity and who will be attending?,"['time', 'next', 'yoga', 'activity', 'who', 'attend']"
navigate,find me the closest coffee shop on the map,"['find', 'closest', 'coffee', 'shop', 'map']"
schedule,what is the date location and time of my next conference,"['date', 'location', 'time', 'next', 'conference']"
weather,what is the forecast for this week,"['forecast', 'week']"
schedule,"Car, set a reminder for a conference at 6 pm. I need it on the 1st with my boss.","['car', 'set', 'reminder', 'conference', '6', 'pm', '.', 'need', '1st', 'boss', '.']"
schedule,Set a reminder for dinner at 7pm on the 6th with my brother.,"['set', 'reminder', 'dinner', '7pm', '6th', 'brother', '.']"
navigate,Please give me the address and directions via a route that avoids all heavy traffic to a hospital around me. ,"['please', 'give', 'address', 'directions', 'via', 'route', 'avoid', 'heavy', 'traffic', 'hospital', 'around', '.']"
weather,Is it gonna be stormy in Danville today and tomorrow?,"['gon', 'na', 'stormy', 'danville', 'today', 'tomorrow']"
weather,Tell me if it will be cloudy in menlo park tomorrow,"['tell', 'cloudy', 'menlo', 'park', 'tomorrow']"
navigate,Get me the address to a chinese restaurant in the area.,"['get', 'address', 'chinese', 'restaurant', 'area', '.']"
weather,what's the temperature,"[""'s"", 'temperature']"
schedule,what time is my tennis activity?,"['time', 'tennis', 'activity']"
weather,how hot is it going to be this week,"['hot', 'go', 'week']"
schedule,what time is my meeting at,"['time', 'meet']"
navigate,Find home address that is within the distance of 5 miles.,"['find', 'home', 'address', 'within', 'distance', '5', 'miles', '.']"
navigate,show me nearby parking,"['show', 'nearby', 'park']"
schedule,set a reminder for lab work on the 12th,"['set', 'reminder', 'lab', 'work', '12th']"
weather,What is the highest temperature in New York right now,"['highest', 'temperature', 'new', 'york', 'right']"
navigate,Locate any hospitals in the area.,"['locate', 'hospitals', 'area', '.']"
weather,what is the weather like for tomorrow night,"['weather', 'like', 'tomorrow', 'night']"
navigate,where can i get coffee,"['where', 'get', 'coffee']"
navigate,"Car I need to go back home, please pick the quickest way with no traffic","['car', 'need', 'go', 'back', 'home', 'please', 'pick', 'quickest', 'way', 'traffic']"
navigate,"Car I need to get to a gas station, please show me the nearest one","['car', 'need', 'get', 'gas', 'station', 'please', 'show', 'nearest', 'one']"
navigate,Locate my friend's current address for me.,"['locate', 'friend', ""'s"", 'current', 'address', '.']"
navigate,give me directions to the nearest parking garage,"['give', 'directions', 'nearest', 'park', 'garage']"
weather,On Thursday will it be overcast in Exeter?,"['thursday', 'overcast', 'exeter']"
schedule,schedule reminder for tennis practice on the 12th of next month,"['schedule', 'reminder', 'tennis', 'practice', '12th', 'next', 'month']"
schedule,Set a reminder for the 15th at 6pm. Conference with the executive team. ,"['set', 'reminder', '15th', '6pm', '.', 'conference', 'executive', 'team', '.']"
weather,what is the temperature outside,"['temperature', 'outside']"
weather,is it going to be overcast or cloudy at all any day this week,"['go', 'overcast', 'cloudy', 'day', 'week']"
schedule,I need a reminder for dinner. ,"['need', 'reminder', 'dinner', '.']"
schedule,schedule of yoga class,"['schedule', 'yoga', 'class']"
schedule,Schedule a dentist appointment with Ana for the 15th of this month at 2pm.,"['schedule', 'dentist', 'appointment', 'ana', '15th', 'month', '2pm', '.']"
weather,check weather,"['check', 'weather']"
navigate,Where is the nearest gas station?,"['where', 'nearest', 'gas', 'station']"
schedule,What time is my swimming activity and who is going to be attending?,"['time', 'swim', 'activity', 'who', 'go', 'attend']"
schedule,please schedule a game of tennis with my friend for next week,"['please', 'schedule', 'game', 'tennis', 'friend', 'next', 'week']"
navigate,find me the closest fast food place that serves chinese,"['find', 'closest', 'fast', 'food', 'place', 'serve', 'chinese']"
navigate,what are some nearby restaurants,"['nearby', 'restaurants']"
weather,Does the weekend outlook say if there will be dew in mountain view?,"['weekend', 'outlook', 'say', 'dew', 'mountain', 'view']"
navigate,what are the directions to the mall,"['directions', 'mall']"
navigate,bring me to the nearest starbucks,"['bring', 'nearest', 'starbucks']"
schedule,set a reminder about my swim meet next wednesday at 3 pm,"['set', 'reminder', 'swim', 'meet', 'next', 'wednesday', '3', 'pm']"
navigate,find the nearest hotel,"['find', 'nearest', 'hotel']"
navigate,give me directions to a coffee place,"['give', 'directions', 'coffee', 'place']"
weather,is there snow in the forecast for the week,"['snow', 'forecast', 'week']"
weather,Check out the seven day forecast to see if it will be foggy in durham,"['check', 'seven', 'day', 'forecast', 'see', 'foggy', 'durham']"
schedule,next doctor's appointment,"['next', 'doctor', ""'s"", 'appointment']"
navigate,i'm in pain navigate me to the nearest hospital,"[""'m"", 'pain', 'navigate', 'nearest', 'hospital']"
weather,Is it gonna be warm Friday in Alhambra?,"['gon', 'na', 'warm', 'friday', 'alhambra']"
weather,what's the weather forecast for tomorrow,"[""'s"", 'weather', 'forecast', 'tomorrow']"
navigate,I'm in need of a pizza restaurant. ,"[""'m"", 'need', 'pizza', 'restaurant', '.']"
weather,what's the weekly weather report for the city,"[""'s"", 'weekly', 'weather', 'report', 'city']"
navigate,give me directions to my house,"['give', 'directions', 'house']"
schedule,What is the date of my optometrist appointment and who will be attending it?,"['date', 'optometrist', 'appointment', 'who', 'attend']"
schedule,when am i going swimming?,"['when', 'go', 'swim']"
weather,what's the weather going to be today and also what is the weather going to be this week,"[""'s"", 'weather', 'go', 'today', 'also', 'weather', 'go', 'week']"
weather,Will the weather be hail in Alhambra during the next seven days?,"['weather', 'hail', 'alhambra', 'next', 'seven', 'days']"
navigate,give me directions to the local starbucks,"['give', 'directions', 'local', 'starbucks']"
weather,what's it going to be like in san jose,"[""'s"", 'go', 'like', 'san', 'jose']"
schedule,put a reminder in my calendar for tomorrow at 5 pm meeting,"['put', 'reminder', 'calendar', 'tomorrow', '5', 'pm', 'meet']"
weather,what's the temperature going to be for the week,"[""'s"", 'temperature', 'go', 'week']"
weather,what is the weather like this week,"['weather', 'like', 'week']"
schedule,Schedule taking medicine with Martha at 5PM next Wednesday.,"['schedule', 'take', 'medicine', 'martha', '5pm', 'next', 'wednesday', '.']"
weather,give me this week's high temperature,"['give', 'week', ""'s"", 'high', 'temperature']"
navigate,Find me a hotel that is near my location.,"['find', 'hotel', 'near', 'location', '.']"
schedule,set a meeting in the conference room 100,"['set', 'meet', 'conference', 'room', '100']"
schedule,"Who's showing up for tennis, and what's the date on that?","['who', ""'s"", 'show', 'tennis', ""'s"", 'date']"
schedule,"What time is my meeting and what is the agenda, also who is attending?","['time', 'meet', 'agenda', 'also', 'who', 'attend']"
schedule,What time is my meeting and who is going to be there and what is the agenda?,"['time', 'meet', 'who', 'go', 'agenda']"
schedule,Set reminder for dinner on Thursday at 2 pm with mother. ,"['set', 'reminder', 'dinner', 'thursday', '2', 'pm', 'mother', '.']"
schedule,"When, where, and what time is my meeting, and who will be there?","['when', 'where', 'time', 'meet', 'who']"
schedule,What time is my optometrist appointment and who will be attending it?,"['time', 'optometrist', 'appointment', 'who', 'attend']"
schedule,find out when my next conferences,"['find', 'when', 'next', 'conferences']"
schedule,remind me that i have a meeting at work on the 12th at 5 pm in conference room 100,"['remind', 'meet', 'work', '12th', '5', 'pm', 'conference', 'room', '100']"
navigate,can you give me directions to the nearest starbucks,"['give', 'directions', 'nearest', 'starbucks']"
schedule,when's my next scheduled yoga class,"['when', ""'s"", 'next', 'schedule', 'yoga', 'class']"
weather,what's the weather like today and tomorrow,"[""'s"", 'weather', 'like', 'today', 'tomorrow']"
schedule,remind me to go swimming at 4:50,"['remind', 'go', 'swim', '4:50']"
navigate,find some places downtown where i can park,"['find', 'place', 'downtown', 'where', 'park']"
navigate,I need the route with the shortest distance to a parking garage in the area,"['need', 'route', 'shortest', 'distance', 'park', 'garage', 'area']"
schedule,What is the date and time for my yoga activity?,"['date', 'time', 'yoga', 'activity']"
weather,which days will be cloudy this week,"['days', 'cloudy', 'week']"
navigate,take me to the nearest shopping center,"['take', 'nearest', 'shop', 'center']"
schedule,What is the date of my swimming activity and who is attending?,"['date', 'swim', 'activity', 'who', 'attend']"
weather,what's the weather like,"[""'s"", 'weather', 'like']"
navigate,Where can I get pizza?,"['where', 'get', 'pizza']"
navigate,What is the address of my friends house?,"['address', 'friends', 'house']"
schedule,What is the date and time of my next meeting and who will be attending it?,"['date', 'time', 'next', 'meet', 'who', 'attend']"
weather,is it going to rain at all this upcoming week,"['go', 'rain', 'upcoming', 'week']"
schedule,set date for a meeting,"['set', 'date', 'meet']"
navigate,Get the address to the closest gas station ASAP.,"['get', 'address', 'closest', 'gas', 'station', 'asap', '.']"
weather,check forecast for new york,"['check', 'forecast', 'new', 'york']"
weather,what is the weather like in the city,"['weather', 'like', 'city']"
schedule,Set a reminder for a conference with the vice president next Wednesday at 10 am.,"['set', 'reminder', 'conference', 'vice', 'president', 'next', 'wednesday', '10', '.']"
navigate,Where does  my friend live?,"['where', 'friend', 'live']"
navigate,Can you help me find the closest shopping center without heavy traffic?,"['help', 'find', 'closest', 'shop', 'center', 'without', 'heavy', 'traffic']"
weather,what is today's weather forecast,"['today', ""'s"", 'weather', 'forecast']"
navigate,find me somewhere to park,"['find', 'somewhere', 'park']"
navigate,pull up directions to 5672 barringer street,"['pull', 'directions', '5672', 'barringer', 'street']"
navigate,can you please take me to a coffee house,"['please', 'take', 'coffee', 'house']"
navigate,Where can I get groceries?,"['where', 'get', 'groceries']"
navigate,I want coffee.,"['want', 'coffee', '.']"
navigate,direct me to the nearest starbucks,"['direct', 'nearest', 'starbucks']"
navigate,"Car I need to get to my friends house, it should be within 4 miles from here","['car', 'need', 'get', 'friends', 'house', 'within', '4', 'miles']"
navigate,Find home address for me within 4 miles.,"['find', 'home', 'address', 'within', '4', 'miles', '.']"
weather,is it going to snow in the next week,"['go', 'snow', 'next', 'week']"
weather,What is the weather report for Saturday in Manhattan?,"['weather', 'report', 'saturday', 'manhattan']"
navigate,Are there any hospitals near me,"['hospitals', 'near']"
navigate,What shopping centers are around me?,"['shop', 'center', 'around']"
schedule,what time is my meeting tomorrow and what is the agenda,"['time', 'meet', 'tomorrow', 'agenda']"
schedule,Set a reminder for doctors appointment on August 14th at 4pm with my sister,"['set', 'reminder', 'doctor', 'appointment', 'august', '14th', '4pm', 'sister']"
navigate,navigate to the nearest coffee shop,"['navigate', 'nearest', 'coffee', 'shop']"
schedule,i have a meeting on the 12th of august at 5:50 please remind me,"['meet', '12th', 'august', '5:50', 'please', 'remind']"
weather,please tell me the weather for today and what the weather will be tomorrow,"['please', 'tell', 'weather', 'today', 'weather', 'tomorrow']"
weather,what is the weather forecast for the weekend,"['weather', 'forecast', 'weekend']"
weather,is it raining today,"['rain', 'today']"
schedule,Can you schedule dinner with Tom at 6pm today?,"['schedule', 'dinner', 'tom', '6pm', 'today']"
navigate,"Can you direct me to a coffee or tea place nearby, preferably on a route with no traffic?","['direct', 'coffee', 'tea', 'place', 'nearby', 'preferably', 'route', 'traffic']"
weather,How is gonna be the weather forecast in San Mateo for the next weekend?,"['gon', 'na', 'weather', 'forecast', 'san', 'mateo', 'next', 'weekend']"
schedule,Can you find out the parties attending and the date for the day I take my medicine?,"['find', 'party', 'attend', 'date', 'day', 'take', 'medicine']"
schedule,Set a reminder to take my medicine on Monday Aug 8 at 7 pm with my mother,"['set', 'reminder', 'take', 'medicine', 'monday', 'aug', '8', '7', 'pm', 'mother']"
schedule,Set a reminder for my dentist appointment with dad on the first at 2PM.,"['set', 'reminder', 'dentist', 'appointment', 'dad', 'first', '2pm', '.']"
schedule,What is the date and time for the meeting and what is the agenda?,"['date', 'time', 'meet', 'agenda']"
weather,what's the highest temperature for this week,"[""'s"", 'highest', 'temperature', 'week']"
weather,check the weather forecast,"['check', 'weather', 'forecast']"
navigate,where is the house,"['where', 'house']"
navigate,find a coffee place,"['find', 'coffee', 'place']"
schedule,Please schedule a swimming activity on Sunday at 4pm with my brother.,"['please', 'schedule', 'swim', 'activity', 'sunday', '4pm', 'brother', '.']"
weather,what is the forecast for today's weather,"['forecast', 'today', ""'s"", 'weather']"
weather,what is the weather like today and tomorrow,"['weather', 'like', 'today', 'tomorrow']"
schedule,Who is going with me to the optometrist appointment?,"['who', 'go', 'optometrist', 'appointment']"
navigate,Give me the nearest coffee shop. ,"['give', 'nearest', 'coffee', 'shop', '.']"
navigate,can you give me directions to the nearest hotel,"['give', 'directions', 'nearest', 'hotel']"
navigate,show me the nearby hospital,"['show', 'nearby', 'hospital']"
schedule,What is the date of the next time i need to take medicine and who will be attending?,"['date', 'next', 'time', 'need', 'take', 'medicine', 'who', 'attend']"
navigate,give me directions to the nearest grocery store,"['give', 'directions', 'nearest', 'grocery', 'store']"
weather,does the forecast say it will snow,"['forecast', 'say', 'snow']"
schedule,Schedule a optometrist appointment with my aunt on Tuesday August 8th at 10 am.,"['schedule', 'optometrist', 'appointment', 'aunt', 'tuesday', 'august', '8th', '10', '.']"
weather,what is the forecast for the next 7 days,"['forecast', 'next', '7', 'days']"
navigate,Where can I get pizza?,"['where', 'get', 'pizza']"
navigate,find me directions to the nearest hotel,"['find', 'directions', 'nearest', 'hotel']"
schedule,set a reminder for my yoga class on the 12th,"['set', 'reminder', 'yoga', 'class', '12th']"
navigate,I'm desiring to eat at some Chinese restaurant: please pick the nearest one!,"[""'m"", 'desire', 'eat', 'chinese', 'restaurant', ':', 'please', 'pick', 'nearest', 'one', '!']"
schedule,make an appointment for me to get my laboratory results later this week,"['make', 'appointment', 'get', 'laboratory', 'result', 'later', 'week']"
schedule,remind me that i need to get my shot on the 12th at about 5 pm,"['remind', 'need', 'get', 'shoot', '12th', '5', 'pm']"
weather,start listening what will be the weather for the week,"['start', 'listen', 'weather', 'week']"
navigate,where's the closest place to park,"['where', ""'s"", 'closest', 'place', 'park']"
navigate,give me directions to a place to sleep,"['give', 'directions', 'place', 'sleep']"
schedule,"Schedule a meeting at 4pm today, with the boss, to discuss dress code","['schedule', 'meet', '4pm', 'today', 'boss', 'discuss', 'dress', 'code']"
weather,Tomorrow in inglewood will it be windy?,"['tomorrow', 'inglewood', 'windy']"
schedule,give me the date and time of my dentist appointment,"['give', 'date', 'time', 'dentist', 'appointment']"
schedule,set reminder for lab check up,"['set', 'reminder', 'lab', 'check']"
weather,what's the seven day forecast for new york city,"[""'s"", 'seven', 'day', 'forecast', 'new', 'york', 'city']"
navigate,directions to coffee and tea house,"['directions', 'coffee', 'tea', 'house']"
weather,is it going to snow in the next week,"['go', 'snow', 'next', 'week']"
schedule,"Where is my conference, what is it about, and what day is it.","['where', 'conference', 'day', '.']"
schedule,What time is my next yoga activity and who will be attending?,"['time', 'next', 'yoga', 'activity', 'who', 'attend']"
weather,Will there be dew in Durham tomorrow? ,"['dew', 'durham', 'tomorrow']"
navigate,Where is the closest rest stop?,"['where', 'closest', 'rest', 'stop']"
navigate,Find me a place where i can enjoy some chinese food around here.,"['find', 'place', 'where', 'enjoy', 'chinese', 'food', 'around', '.']"
navigate,give me directions to nearest mall,"['give', 'directions', 'nearest', 'mall']"
weather,Will it be cloudy in San Jose this week?,"['cloudy', 'san', 'jose', 'week']"
navigate,find the nearest coffee shop,"['find', 'nearest', 'coffee', 'shop']"
navigate,Find me a gas station i could get to the quickest.,"['find', 'gas', 'station', 'could', 'get', 'quickest', '.']"
weather,update me on the weekly weather forecast for this week,"['update', 'weekly', 'weather', 'forecast', 'week']"
weather,what will the weather be like in the city,"['weather', 'like', 'city']"
navigate,I need gas.,"['need', 'gas', '.']"
weather,Will it be frost in Alhambra in next 48 hours?,"['frost', 'alhambra', 'next', '48', 'hours']"
navigate,give me directions to the closest chinese food restaurant,"['give', 'directions', 'closest', 'chinese', 'food', 'restaurant']"
weather,what is the temperature going to be like this week,"['temperature', 'go', 'like', 'week']"
weather,Will there be clear skies in Danville on Thursday?,"['clear', 'sky', 'danville', 'thursday']"
schedule,What time and date is my lab appointment?,"['time', 'date', 'lab', 'appointment']"
weather,Will it be foggy in downtown Chicago on Tuesday?,"['foggy', 'downtown', 'chicago', 'tuesday']"
weather,will it rain this week,"['rain', 'week']"
schedule,i need to schedule a doctor's appointment,"['need', 'schedule', 'doctor', ""'s"", 'appointment']"
schedule,When is my dentist appointment? Who am I going with?,"['when', 'dentist', 'appointment', 'who', 'go']"
schedule,what time is my meeting,"['time', 'meet']"
navigate,give me directions to the nearest mall,"['give', 'directions', 'nearest', 'mall']"
weather,Will it be foggy in Seattle today and tomorrow?,"['foggy', 'seattle', 'today', 'tomorrow']"
weather,what is the weather like in new york city,"['weather', 'like', 'new', 'york', 'city']"
navigate,where's the nearest parking garage,"['where', ""'s"", 'nearest', 'park', 'garage']"
schedule,Find out the parties joining me and date for my doctor appointment.,"['find', 'party', 'join', 'date', 'doctor', 'appointment', '.']"
weather,what is the temperature outside,"['temperature', 'outside']"
schedule,"Can you schedule a doctor appointment at 10 am, Monday the 1st, with Martha?","['schedule', 'doctor', 'appointment', '10', 'monday', '1st', 'martha']"
weather,check today's forecast for rain,"['check', 'today', ""'s"", 'forecast', 'rain']"
schedule,What time is my doctors appointment and who is attending?,"['time', 'doctor', 'appointment', 'who', 'attend']"
navigate,give me directions to starbucks,"['give', 'directions', 'starbucks']"
weather,what will the weather be like in the city,"['weather', 'like', 'city']"
navigate,find directions to home,"['find', 'directions', 'home']"
navigate,I need a rest stop.,"['need', 'rest', 'stop', '.']"
schedule,Set a calendar reminder for dinner with my mother at 4pm.,"['set', 'calendar', 'reminder', 'dinner', 'mother', '4pm', '.']"
weather,how is the climate on friday,"['climate', 'friday']"
navigate,Find the address to a chinese restaurant that i could get to the quickest.,"['find', 'address', 'chinese', 'restaurant', 'could', 'get', 'quickest', '.']"
weather,find weekly weather forecast,"['find', 'weekly', 'weather', 'forecast']"
weather,update me on the weekly weather forecast for this week,"['update', 'weekly', 'weather', 'forecast', 'week']"
navigate,Where is the nearest grocery store located?,"['where', 'nearest', 'grocery', 'store', 'locate']"
weather,what's the weather like today and tomorrow,"[""'s"", 'weather', 'like', 'today', 'tomorrow']"
schedule,Schedule an optometrist appointment next Friday at 4 pm with Tom,"['schedule', 'optometrist', 'appointment', 'next', 'friday', '4', 'pm', 'tom']"
schedule,schedule a meeting for today,"['schedule', 'meet', 'today']"
navigate,give me directions to the closest chinese food restaurant,"['give', 'directions', 'closest', 'chinese', 'food', 'restaurant']"
schedule,Please tell me what time my yoga activity is and who will be attending. ,"['please', 'tell', 'time', 'yoga', 'activity', 'who', 'attend', '.']"
navigate,Find me a gas station that i could get to with the least amount of traffic.,"['find', 'gas', 'station', 'could', 'get', 'least', 'amount', 'traffic', '.']"
schedule,add meeting in conference room 102 the calendar,"['add', 'meet', 'conference', 'room', '102', 'calendar']"
weather,tell me what the weather will be like tomorrow,"['tell', 'weather', 'like', 'tomorrow']"
navigate,Where is the rest stop within 2 miles?,"['where', 'rest', 'stop', 'within', '2', 'miles']"
weather,please show me the weekly weather report,"['please', 'show', 'weekly', 'weather', 'report']"
weather,what's the weather going to be like for this week,"[""'s"", 'weather', 'go', 'like', 'week']"
weather,is it going to rain this week,"['go', 'rain', 'week']"
navigate,I need a no traffic route to a rest stop. ,"['need', 'traffic', 'route', 'rest', 'stop', '.']"
navigate,show me the nearest shopping mall,"['show', 'nearest', 'shop', 'mall']"
weather,What is the highest temperature in Manhattan in the next 2 days?,"['highest', 'temperature', 'manhattan', 'next', '2', 'days']"
weather,what's the weather like today,"[""'s"", 'weather', 'like', 'today']"
schedule,Schedule a swimming activity with Ana for the 1st at 2pm.,"['schedule', 'swim', 'activity', 'ana', '1st', '2pm', '.']"
schedule,confirm meeting for 4:50 pm on the 12th,"['confirm', 'meet', '4:50', 'pm', '12th']"
weather,Please give me the high temperature for New York for the next seven days. ,"['please', 'give', 'high', 'temperature', 'new', 'york', 'next', 'seven', 'days', '.']"
schedule,What time is the optometrist appointment and who is going?,"['time', 'optometrist', 'appointment', 'who', 'go']"
schedule,remind me to go to the football game on december 12th at 4:50 pm,"['remind', 'go', 'football', 'game', 'december', '12th', '4:50', 'pm']"
navigate,Where is there a shopping center within 5 miles?,"['where', 'shop', 'center', 'within', '5', 'miles']"
navigate,give me the location for the nearest starbucks,"['give', 'location', 'nearest', 'starbucks']"
weather,what is the weather next week in new york,"['weather', 'next', 'week', 'new', 'york']"
schedule,What is the date and time of my next football activity? ,"['date', 'time', 'next', 'football', 'activity']"
navigate,take me to the nearest grocery store,"['take', 'nearest', 'grocery', 'store']"
schedule,set doctor's appointment for next week,"['set', 'doctor', ""'s"", 'appointment', 'next', 'week']"
navigate,What is my friend's address?,"['friend', ""'s"", 'address']"
navigate,Please give me the address and directions via the shortest distance to the nearest pizza place. ,"['please', 'give', 'address', 'directions', 'via', 'shortest', 'distance', 'nearest', 'pizza', 'place', '.']"
navigate,Are there any Chinese restaurants here?,"['chinese', 'restaurants']"
navigate,Please give the directions to a nearby hospital. ,"['please', 'give', 'directions', 'nearby', 'hospital', '.']"
schedule,What date is my yoga activity and who is attending? ,"['date', 'yoga', 'activity', 'who', 'attend']"
navigate,I want tea.,"['want', 'tea', '.']"
schedule,Set a reminder for a meeting to sign the NDA on the 7th at 2pm with the vice president ,"['set', 'reminder', 'meet', 'sign', 'nda', '7th', '2pm', 'vice', 'president']"
weather,give me the 7 day weather forecast,"['give', '7', 'day', 'weather', 'forecast']"
navigate,find the nearest restaurant with chinese take-out,"['find', 'nearest', 'restaurant', 'chinese', 'take-out']"
weather,Is it overcast now in Grand Rapids?,"['overcast', 'grand', 'rapids']"
navigate,give me directions home,"['give', 'directions', 'home']"
navigate,where can i go to eat,"['where', 'go', 'eat']"
weather,what is the weather going to be like today and tomorrow,"['weather', 'go', 'like', 'today', 'tomorrow']"
weather,check weather for new york city,"['check', 'weather', 'new', 'york', 'city']"
weather,tell me the temperature for this week,"['tell', 'temperature', 'week']"
schedule,"Good evening car, Set a reminder about a swimming activity at 3pm, December 10th with aunt, set it for 1pm.","['good', 'even', 'car', 'set', 'reminder', 'swim', 'activity', '3pm', 'december', '10th', 'aunt', 'set', '1pm', '.']"
weather,what's the weekly forecast,"[""'s"", 'weekly', 'forecast']"
