category,text
weather,does the forecast say it will snow
navigate,how do i get to the nearest restaurant
navigate,Find me a chinese restaurant with a no traffic route. 
weather,what's the forecast for new york city
schedule,Schedule a dinner at 3pm on Monday the 1st with Alex.
schedule,schedule an appointment for yoga
navigate,directions to the nearest takeout chinese restaurant
schedule,Find out the date and time for my dentist appointment
weather,will it be raining in the next 7 days
schedule,"Hi car, can you find out the time and the parties involved for my Yoga activity? Thanks. "
navigate,find some places downtown where i can park
navigate,show me directions to the nearest starbucks
navigate,send me to the nearest gas station
weather,Will the weather be warm in Menlo Park on Sunday?
schedule,"What time is my meeting, what is the agenda, and who is going?"
weather,what's the temperature going to be like today and tomorrow
schedule,what day is my dentist appointment
schedule,What time is swimming and who is coming with me?
navigate,get me directions to the nearest shopping mall
schedule,Could you tell me what day and time my meeting is on? 
weather,Will it be warm in Compton on Wednesday?
schedule,Set reminder for conference at 9AM on Wednesday with infrastructure team.
schedule,set an appointment for swimming
weather,what's the forecast going to be for today and tomorrow
navigate,find me somewhere to park
navigate,Where is there pizza?
schedule,set reminder for eye doctor appointment on the 12th at 3 pm
navigate,I want pizza.
navigate,"Car I need a hotel, please find something near my current location"
schedule,what time is my meeting today
navigate,Where is the closest coffee shop?
weather,what is the weather supposed to be like for the next week
weather,what is the weather like for tomorrow night
weather,what is the temperature for the next 7 days weather forecast
schedule,i have an optometrist appointment the 7th at 3pm
weather,what is the weather like today and tomorrow
weather,Is there rain on Sunday
schedule,"Schedule an appointment at 7pm today with Jeff the optometrist, please"
navigate,I need a hospital quick!
navigate,take me to the nearest cafe
schedule,"I need you to remind me of my football activity at 3pm, Saturday with Ana. "
weather,What is the highest temperature in San Jose on Thursday?
schedule,doctor's appointment at 10 am on monday august 8th
weather,Check to see if it will be windy in brentwood the next few days
navigate,where is the closest place to eat
schedule,Set a reminder to take medicine at 9am on the 12th of this month with Alex.
schedule,set alarm for dinner tonight
weather,what is the weather today
navigate,find me the best parking spot
weather,Is it supposed to rain in brentwood today or tomorrow?
navigate,"I'd like the address to a friend who lives close to where I am, with directions for the fastest route possible."
schedule,Schedule conference. 
schedule,What is the time of my swimming activity and who is attending?
navigate,Where can I get Chinese food?
weather,Which temperature there will be in Alhambra on Thursday?
schedule,Schedule a swimming activity with Jon on Thursday at 4 pm.
weather,Will it drizzle in Oakland in the next week?
weather,let me know if there will be snow and ice in the next week's forecast
weather,please tell me the weather for today and tomorrow
schedule,I need to schedule a lab appointment. 
schedule,check the date and time of my doctor's appointment
navigate,where is the nearest hotel
weather,Will there be a blizzard this week in Manhattan?
navigate,Where can I get Chinese food?
navigate,Where can I go shopping?
schedule,What time is my next tennis activity and who will be attending?
schedule,I need to know when my football activity is and with whom. 
weather,Will there be any frost in fresno this week?
schedule,what day is the meeting in the conference room
schedule,What is the date and time for my optometrist appointment?
weather,what is the weather like in new york this week
weather,What is the weather forecast in Los Angeles over the next few days?
navigate,can you give me directions to the nearest hotel
weather,Is it currently hailing in Manhattan? 
weather,Are we going to have clear skies in San Francisco on Sunday?
navigate,I need a route to the hospital with no traffic. 
navigate,Where is the closest hospital?
schedule,What is the date and location of my meeting and who is attending?
navigate,search for nearby starbucks
schedule,Schedule a football activity with Tom on the 4th at 6pm.
weather,is it going to be cloudy this week
schedule,Who is going with me to the lab appointment and what day is it?
weather,From the two day forecast what will be the highest temperature in Manhattan?
schedule,When is my doctor's appointment?
schedule,schedule dentist appointment
navigate,Is there a place that serves coffee near me?
navigate,What is the address of my friend's house?
navigate,Where is a nearby parking garage?
weather,is it raining next week
navigate,where can i find tea around me
navigate,Car I need a gas station to feed you: is there anything around here?
schedule,What is the date and time of my next lab appointment.
weather,let me know if there will be snow and ice in the next week's forecast
schedule,when is my optometrist's appointment on the 12th
navigate,find a coffee place
navigate,Where is there a hospital around me?
schedule,i'm taking medicine on the 1st
weather,Is it humid over the next two days
weather,Will there be frost in san francisco this week?
navigate,Where do I live?
navigate,what are the directions to the closest parking garage
weather,will it rain next week
schedule,when should i take my medicine next
schedule,Please schedule me a yoga activity with Tom on the 4th at 5pm.
schedule,What day and time is my football activity?
schedule,schedule dentist appointment
weather,Is it stormy in San Francisco right now?
navigate,find the closest starbucks
schedule,set a reminder about my swim meet next wednesday at 3 pm
weather,you tell me if the forecast for the next week calls for it to be above 86 degrees on any day
weather,is it going to rain in the next few days tell me when
weather,what will the weather be like tomorrow
weather,what's the weather like today and tomorrow
weather,Is it gonna be dry in Redwood City in next few days?
schedule,I need to find out the date and time for my swimming activity! 
schedule,Remind me about swimming with Jeff later this week at 4 pm.
navigate,take me to a chinese restaurant
navigate,find me a nearby coffee shop where i can sit and have some coffee
schedule,What day and time is my swimming activity?
weather,what is the weather forecast in the city
schedule,Schedule a conference with the vice president on August 14th at 10am.
schedule,Who will be at my lab appointment and what day is it?
schedule,remind me to watch football on sunday
weather,what is the chance of rain next week
weather,give me the forecast for the next 7 days
schedule,what time should i get my shot this afternoon
weather,Are there gonna be clear skies on Sunday in Durham?
schedule,"Can you schedule a reminder for my football activity at 7pm the 8th, with Martha? "
navigate,i need directions to my house and avoid all heavy traffic
schedule,What is the date and time of my next football activity?
navigate,where can i get coffee
weather,what is the weather today
schedule,Schedule a football activity with Tom on the 8th at 5pm.
weather,what is the weather for next week
weather,There will be any hail in San Francisco on Thursday?
weather,does the forecast call for snow today
navigate,directions to nearest barista
schedule,what time is my doctor's appointment tomorrow
navigate,take me to a place where i can get some hot tea
schedule,Schedule dinner with Martha tonight at 10pm.
weather,Look at today and tomorrow and tell me if there will be drizzle in camarillo
weather,what's the weather today
navigate,Where does my friend live?
schedule,Please add a yoga activity to my schedule on the 29th at 4pm with Tom.
navigate,give me directions to the closest grocery store
navigate,Where is the nearest parking garage?
navigate,give me directions to the local coffee shop
navigate,directions to nearest grocery store
weather,will it rain next week
navigate,What shopping centers are around?
navigate,where's parking
navigate,Quickest route home. 
weather,it's going to be raining so i have to drive slow
navigate,tell me the closest place to get a cup of hot tea
schedule,"I need you to set a reminder for me to take my medicine. Set it for 10 am, the 7th with Jon, please. "
navigate,I need a quick route to a gas station. 
weather,please tell me the weather for today and tomorrow
weather,get me the weather report for this week
schedule,add my dentist appointment to the calendar
schedule,what is the date time and location of my next conference
navigate,I need the address to my friend's home.
weather,Will it be hot in Inglewood this weekend?
schedule,What date is my dentist appointment and who is attending?
navigate,Where do I live?
weather,Look up san francisco's two day weather info to see if it will be warm
weather,find out if it's going to be cloudy next week
navigate,Find the closest parking garage.
navigate,take me to my friends house
weather,what's the weather going to be today and also what is the weather going to be this week
weather,what is the weather forecast for the weekend
weather,What will the highest temperature in Seattle be today?
weather,what's the temperature in the city
weather,what is the weather for the next 7 days
schedule,Schedule a meeting with the vice president to discuss the company picnic on Sunday at 2pm.
weather,what's the forecast for today
schedule,"Set a schedule for dinner at 2pm, Sunday with mother."
navigate,find the closest parking lots to me please
weather,how's the weather in new york
schedule,make me an appointment with the optometrist
weather,what's the weather supposed to be like in new york city this week
schedule,set reminder for yoga class on the 12th of this month
schedule,"Hi car, help me find out the location, parties attending, and time for my meeting, please. "
weather,Tomorrow will there be frost in manhattan?
schedule,Schedule a conference with the vice president on the 5th at 11am.
schedule,Schedule a reminder to take medicine with my brother on Friday at 3pm.
navigate,Car find me a grocery store within 2 miles from my location with the shortest distance.
navigate,get me directions to the nearest coffee shop
navigate,take me to the nearest starbucks please
schedule,"Hi, Can I set a scedule about football at 3 PM next week with Alex?"
weather,what is the weather like this week
navigate,give me directions home
weather,what is the weather like right now
schedule,what time is my tennis match for this saturday
weather,what is the weather like today and tomorrow
weather,Is it gonna be hot on Saturday in Los Angeles?
navigate,find me a tea house
schedule,when is my next meeting
schedule,When is my football activity and who is going with me?
weather,how warm is it outside right now
navigate,show me nearby parking
schedule,Schedule a yoga activity with Alex for the 2nd at 1pm.
weather,What is the lowest temperature in Compton on Wednesday?
schedule,set a reminder for my conference call tomorrow
weather,what's the current temperature outside
weather,please check the weather for this week
weather,is it going to be raining this weekend
weather,What is the forecast for Alhambra in the next few days?
schedule,remind me to go get a shot tomorrow
weather,Look at today and tomorrow and tell me if there will be any snow in san francisco
schedule,What time is my next football activity and who will be attending?
schedule,"I need to find out some info for my Optometrist appointment, the date and time please. "
schedule,"On what date is my conference? What is it about, and who will be there?"
navigate,get me directions to the nearest starbucks
navigate,Find the address of my closest friends house.
navigate,Where do I live?
schedule,what time do the lab results come in
schedule,What time is dinner and who is attending?
weather,Is it going to be foggy in Compton in the next 7 days?
navigate,set my route to the closest mall
weather,will it rain anytime in the next week
schedule,what is the date and time of my next meeting
navigate,need directions to the nearest hotel
navigate,Get the address to my home that is within 3 miles and hurry.
navigate,I need the fastest route home. 
weather,Will it be stormy in Grand Rapids during the week?
schedule,Schedule a swimming activity with Marie for Friday at 1pm.
weather,Over the next few days will it rain in fresno
navigate,Where can I eat pizza?
schedule,What parties am I attending and what are the dates and times?
weather,what's the weather forecast for tomorrow
navigate,find the nearest chinese place on the map
schedule,Who is taking medicine with me and on what day?
schedule,August 3rd at 10 am I am going swimming with my brother. 
schedule,what is the date and time of the meeting
schedule,Schedule a reminder for a doctor appointment with my father on August 22nd at 10am
schedule,"Remind me about my optometrist appointment on Thursday at 11 am, my aunt is coming"
schedule,please add playing tennis to my schedule
schedule,Set a reminder for lab appointment today at 3 pm with sister. 
weather,Is it misty in San Francisco now?
weather,Tell me the weather report in durham for this week
navigate,navigate to the closest restaurant
schedule,Schedule  a reminder that I have an optometrist appointment at 4 PM with Alex next month on the 13th.
schedule,Set a reminder for yoga activity at 11 am on the 4th with Martha.
schedule,What date and time is my football activity?
schedule,Schedule a yoga activity at 5 pm Wednesday with Ana. 
weather,Will it be hot in Inglewood over the next few days?
weather,what is the temperature outside
weather,please check the weather for this week
schedule,What is the date of my next lab appointment and who will be attending it?
schedule,Schedule a tennis activity for the 13th at 9 am with my brother. 
navigate,Please confirm the address and give me directions via a route with no traffic to home. 
navigate,Car I'm desiring to eat at some Chinese restaurant: is there anything within 2 miles?
navigate,find nearest coffee shop
schedule,I have yoga on Saturday with Marie. 
weather,Is it going to be windy in San Francisco tomorrow?
navigate,give me directions to some nearby hotels
navigate,Find me the closest parking garage.
navigate,take me to a fast food restaurant
navigate,give me directions to the nearest restaurant
navigate,"Car I need a hospital, please send me a quick route to the one near me in the direction we're driving"
weather,what's the weather forecast in new york
navigate,I need a pizza place within 4 miles.
schedule,Info about football please. 
schedule,What day is my optometrist appointment  and with who?
schedule,Set a reminder for tennis next month on the 13th at 6pm with my aunt.
weather,will it be raining in the next 7 days
weather,Is it misty in Oakland now?
weather,will it be cloudy this week
weather,Is it gonna be hot in Danville during the week?
schedule,When is my lab appointment?
weather,what is the weather like in new york city
weather,check today's forecast for rain
schedule,check my agenda for my meetings
schedule,Remind me about my football activity with my father at 5 pm.
schedule,What time is dinner and who is coming?
navigate,What grocery stores are near?
weather,what's the temperature going to be this week
weather,what is the weather is it going to rain
navigate,search for nearest fast food restaurants
weather,What's the 7 day forecast in Brentwood?
navigate,What is my friend's address?
schedule,schedule a meeting for next week
weather,what's the weather like on my drive today
schedule,"Dinner, what time and date?"
schedule,Set a reminder for a doctors appointment on the 4th at 3pm with Jon
weather,Will there be rain in Grand Rapids on Tuesday? 
weather,how hot is it going to be this week
weather,what is the weather forecast like in the city
schedule,Remind me about my optometrist appointment on Thursday with my brother
weather,is it cloudy today
schedule,when will my lab results be in
navigate,What is the address for my friends house?
schedule,set up a group meeting at the conference room for next week
schedule,Schedule
navigate,What is my home address and what is the route I can take there with the least traffic that will get me there the quickest?
schedule,What time is my medicine and who is involved? 
weather,check the weather for today
navigate,Please give the address and directions via the fastest route to a hospital. 
schedule,What is the time and location of my next meeting and who will be attending?
weather,Is it going to frost in Oakland now?
schedule,set a reminder for my daughter's swimming lessons
navigate,Where are the rest stops near me?
navigate,where's the nearest produce stand
navigate,give me directions to the nearest place where i can have a cup of tea
navigate,take me to the nearest cafe
navigate,get me directions to a local cafe
schedule,When is my tennis match?
weather,will the weather be cloudy next week
weather,Are there clear skies in los angeles today?
weather,what's the weather forecast for today and tomorrow
navigate,Where can I go shopping?
navigate,what are some nearby hotels
weather,how's the weather in new york
weather,what's the temperature going to be for the week
navigate,give me a location to a local parking lot
navigate,give me directions to the nearest starbucks
navigate,give me directions to my friends house
schedule,Set a reminder for an optometrist appointment at 9am on the 6th of this month - my brother will be there as well.
schedule,schedule doctor's appointment for august 3 at 10
navigate,"I need to find a hospital quickly, without any heavy traffic"
schedule,set an appointment to get shots next week
schedule,Schedule a meeting with executive team to discuss the company picnic on the 8th at 7 pm
navigate,please find me directions to a nearby place i can get some coffee
navigate,Where is the closest tea house?
schedule,I need to find out the date and time for my lab appointment. 
navigate,directions to the nearest takeout chinese restaurant
weather,tomorrow's forecast
schedule,when and where is my next meeting
navigate,Where does my friend live?
navigate,Please give me an address and directions via the fastest route to a coffee or tea place around me. 
navigate,Where can I fill up?
weather,what's the temperature going to be like this week
weather,give me the weekly weather forecast
schedule,please set reminder for the 8th at 5 pm for yoga. my aunt is coming along
weather,Will there be clear skies in Redwood City next week?
schedule,Set a reminder for dentist appointment at 5 pm on the 2nd with Ana. 
weather,Will it be dry in Fresno on Sunday?
weather,Will it be frost in San Jose tomorrow?
schedule,Remind me about my optometrist appointment at 11am on Monday the 1st with Jeff
weather,check the weather for today
navigate,Where can I go shopping?
weather,what's the temperature going to be like on friday
navigate,What hospitals are here?
navigate,Where is there a coffee or tea place around. Find me one that will get me there the quickest with the least traffic
weather,Is it currently rainy in Fresno
navigate,Find a coffee shop near my location.
weather,is it going to snow any this week
schedule,what time is the meeting
navigate,navigate to the nearest place to get coffee
weather,Is it gonna be misty in Corona on Monday?
weather,is it going to snow in the next 7 days
navigate,Where can I get gas?
navigate,Need the quickest route to home.
schedule,I would like to know what time and day my tennis is. 
weather,what is today's forecast
weather,tell me the weather forecast for this week
schedule,"Hi car, I need to find out the time and date for my dinner please. "
schedule,check to see if i have any meetings or conferences in the near future
weather,what's the weather like in new york city
navigate,find me a hotel somewhere near my current location
navigate,Where can I get pizza?
weather,car is it going to snow today
schedule,remind me to go get a shot tomorrow
schedule,What day and time is my lab appointment?
navigate,"Car I need to rest, please find some rest stop near me in the direction we're going now"
schedule,I need a reminder set for football activity on August 22th at 5 pm with Jeff. 
weather,search today's forecast
schedule,when is the meeting
schedule,set reminder to make doctor's appointment
schedule,Find out the time and parties attending for my yoga activity. 
weather,what will the temperature be for the next week
weather,what's the weekly forecast for cleveland
navigate,Find my home address for me around here in this area.
schedule,Schedule a conference with the sales team on the 6th at 9am.
navigate,Car I'm desiring coffee: which one is the closest to my position?
weather,car what is the temperature going to be today and tomorrow
weather,Is there any rain in the current weather forecast in Inglewood?
navigate,I need help finding a grocery store.
schedule,What is the date of my swimming activity and who is attending?
weather,is it going to rain in the next 7 days
navigate,give me directions to the nearest place to get to eat
schedule,What is the date of my Nextt dentist appointment and who will be attending it?
navigate,"How far away from home am I, i need to the route with the shortest distance and the address"
navigate,I need to find a shopping center. 
weather,will it snow this week
schedule,What people have sent an RSVP or responded for the party so far? What time will the party begin? What activities are on the agenda for the party?
navigate,Car I need a parking garage within 5 miles of my current position
schedule,set an appointment for swimming
navigate,find me a hotel room for tonight
weather,what's the weather like
navigate,Where can I get tea?
weather,please check the weather for this week
schedule,What day and time do I need to take my meds?
weather,what is the current temperature
weather,what is the forecast for this week
schedule,What time is my next yoga activity and who will be attending?
navigate,find me the closest coffee shop on the map
schedule,what is the date location and time of my next conference
weather,what is the forecast for this week
schedule,"Car, set a reminder for a conference at 6 pm. I need it on the 1st with my boss."
schedule,Set a reminder for dinner at 7pm on the 6th with my brother.
navigate,Please give me the address and directions via a route that avoids all heavy traffic to a hospital around me. 
weather,Is it gonna be stormy in Danville today and tomorrow?
weather,Tell me if it will be cloudy in menlo park tomorrow
navigate,Get me the address to a chinese restaurant in the area.
weather,what's the temperature
schedule,what time is my tennis activity?
weather,how hot is it going to be this week
schedule,what time is my meeting at
navigate,Find home address that is within the distance of 5 miles.
navigate,show me nearby parking
schedule,set a reminder for lab work on the 12th
weather,What is the highest temperature in New York right now
navigate,Locate any hospitals in the area.
weather,what is the weather like for tomorrow night
navigate,where can i get coffee
navigate,"Car I need to go back home, please pick the quickest way with no traffic"
navigate,"Car I need to get to a gas station, please show me the nearest one"
navigate,Locate my friend's current address for me.
navigate,give me directions to the nearest parking garage
weather,On Thursday will it be overcast in Exeter?
schedule,schedule reminder for tennis practice on the 12th of next month
schedule,Set a reminder for the 15th at 6pm. Conference with the executive team. 
weather,what is the temperature outside
weather,is it going to be overcast or cloudy at all any day this week
schedule,I need a reminder for dinner. 
schedule,schedule of yoga class
schedule,Schedule a dentist appointment with Ana for the 15th of this month at 2pm.
weather,check weather
navigate,Where is the nearest gas station?
schedule,What time is my swimming activity and who is going to be attending?
schedule,please schedule a game of tennis with my friend for next week
navigate,find me the closest fast food place that serves chinese
navigate,what are some nearby restaurants
weather,Does the weekend outlook say if there will be dew in mountain view?
navigate,what are the directions to the mall
navigate,bring me to the nearest starbucks
schedule,set a reminder about my swim meet next wednesday at 3 pm
navigate,find the nearest hotel
navigate,give me directions to a coffee place
weather,is there snow in the forecast for the week
weather,Check out the seven day forecast to see if it will be foggy in durham
schedule,next doctor's appointment
navigate,i'm in pain navigate me to the nearest hospital
weather,Is it gonna be warm Friday in Alhambra?
weather,what's the weather forecast for tomorrow
navigate,I'm in need of a pizza restaurant. 
weather,what's the weekly weather report for the city
navigate,give me directions to my house
schedule,What is the date of my optometrist appointment and who will be attending it?
schedule,when am i going swimming?
weather,what's the weather going to be today and also what is the weather going to be this week
weather,Will the weather be hail in Alhambra during the next seven days?
navigate,give me directions to the local starbucks
weather,what's it going to be like in san jose
schedule,put a reminder in my calendar for tomorrow at 5 pm meeting
weather,what's the temperature going to be for the week
weather,what is the weather like this week
schedule,Schedule taking medicine with Martha at 5PM next Wednesday.
weather,give me this week's high temperature
navigate,Find me a hotel that is near my location.
schedule,set a meeting in the conference room 100
schedule,"Who's showing up for tennis, and what's the date on that?"
schedule,"What time is my meeting and what is the agenda, also who is attending?"
schedule,What time is my meeting and who is going to be there and what is the agenda?
schedule,Set reminder for dinner on Thursday at 2 pm with mother. 
schedule,"When, where, and what time is my meeting, and who will be there?"
schedule,What time is my optometrist appointment and who will be attending it?
schedule,find out when my next conferences
schedule,remind me that i have a meeting at work on the 12th at 5 pm in conference room 100
navigate,can you give me directions to the nearest starbucks
schedule,when's my next scheduled yoga class
weather,what's the weather like today and tomorrow
schedule,remind me to go swimming at 4:50
navigate,find some places downtown where i can park
navigate,I need the route with the shortest distance to a parking garage in the area
schedule,What is the date and time for my yoga activity?
weather,which days will be cloudy this week
navigate,take me to the nearest shopping center
schedule,What is the date of my swimming activity and who is attending?
weather,what's the weather like
navigate,Where can I get pizza?
navigate,What is the address of my friends house?
schedule,What is the date and time of my next meeting and who will be attending it?
weather,is it going to rain at all this upcoming week
schedule,set date for a meeting
navigate,Get the address to the closest gas station ASAP.
weather,check forecast for new york
weather,what is the weather like in the city
schedule,Set a reminder for a conference with the vice president next Wednesday at 10 am.
navigate,Where does  my friend live?
navigate,Can you help me find the closest shopping center without heavy traffic?
weather,what is today's weather forecast
navigate,find me somewhere to park
navigate,pull up directions to 5672 barringer street
navigate,can you please take me to a coffee house
navigate,Where can I get groceries?
navigate,I want coffee.
navigate,direct me to the nearest starbucks
navigate,"Car I need to get to my friends house, it should be within 4 miles from here"
navigate,Find home address for me within 4 miles.
weather,is it going to snow in the next week
weather,What is the weather report for Saturday in Manhattan?
navigate,Are there any hospitals near me
navigate,What shopping centers are around me?
schedule,what time is my meeting tomorrow and what is the agenda
schedule,Set a reminder for doctors appointment on August 14th at 4pm with my sister
navigate,navigate to the nearest coffee shop
schedule,i have a meeting on the 12th of august at 5:50 please remind me
weather,please tell me the weather for today and what the weather will be tomorrow
weather,what is the weather forecast for the weekend
weather,is it raining today
schedule,Can you schedule dinner with Tom at 6pm today?
navigate,"Can you direct me to a coffee or tea place nearby, preferably on a route with no traffic?"
weather,How is gonna be the weather forecast in San Mateo for the next weekend?
schedule,Can you find out the parties attending and the date for the day I take my medicine?
schedule,Set a reminder to take my medicine on Monday Aug 8 at 7 pm with my mother
schedule,Set a reminder for my dentist appointment with dad on the first at 2PM.
schedule,What is the date and time for the meeting and what is the agenda?
weather,what's the highest temperature for this week
weather,check the weather forecast
navigate,where is the house
navigate,find a coffee place
schedule,Please schedule a swimming activity on Sunday at 4pm with my brother.
weather,what is the forecast for today's weather
weather,what is the weather like today and tomorrow
schedule,Who is going with me to the optometrist appointment?
navigate,Give me the nearest coffee shop. 
navigate,can you give me directions to the nearest hotel
navigate,show me the nearby hospital
schedule,What is the date of the next time i need to take medicine and who will be attending?
navigate,give me directions to the nearest grocery store
weather,does the forecast say it will snow
schedule,Schedule a optometrist appointment with my aunt on Tuesday August 8th at 10 am.
weather,what is the forecast for the next 7 days
navigate,Where can I get pizza?
navigate,find me directions to the nearest hotel
schedule,set a reminder for my yoga class on the 12th
navigate,I'm desiring to eat at some Chinese restaurant: please pick the nearest one!
schedule,make an appointment for me to get my laboratory results later this week
schedule,remind me that i need to get my shot on the 12th at about 5 pm
weather,start listening what will be the weather for the week
navigate,where's the closest place to park
navigate,give me directions to a place to sleep
schedule,"Schedule a meeting at 4pm today, with the boss, to discuss dress code"
weather,Tomorrow in inglewood will it be windy?
schedule,give me the date and time of my dentist appointment
schedule,set reminder for lab check up
weather,what's the seven day forecast for new york city
navigate,directions to coffee and tea house
weather,is it going to snow in the next week
schedule,"Where is my conference, what is it about, and what day is it."
schedule,What time is my next yoga activity and who will be attending?
weather,Will there be dew in Durham tomorrow? 
navigate,Where is the closest rest stop?
navigate,Find me a place where i can enjoy some chinese food around here.
navigate,give me directions to nearest mall
weather,Will it be cloudy in San Jose this week?
navigate,find the nearest coffee shop
navigate,Find me a gas station i could get to the quickest.
weather,update me on the weekly weather forecast for this week
weather,what will the weather be like in the city
navigate,I need gas.
weather,Will it be frost in Alhambra in next 48 hours?
navigate,give me directions to the closest chinese food restaurant
weather,what is the temperature going to be like this week
weather,Will there be clear skies in Danville on Thursday?
schedule,What time and date is my lab appointment?
weather,Will it be foggy in downtown Chicago on Tuesday?
weather,will it rain this week
schedule,i need to schedule a doctor's appointment
schedule,When is my dentist appointment? Who am I going with?
schedule,what time is my meeting
navigate,give me directions to the nearest mall
weather,Will it be foggy in Seattle today and tomorrow?
weather,what is the weather like in new york city
navigate,where's the nearest parking garage
schedule,Find out the parties joining me and date for my doctor appointment.
weather,what is the temperature outside
schedule,"Can you schedule a doctor appointment at 10 am, Monday the 1st, with Martha?"
weather,check today's forecast for rain
schedule,What time is my doctors appointment and who is attending?
navigate,give me directions to starbucks
weather,what will the weather be like in the city
navigate,find directions to home
navigate,I need a rest stop.
schedule,Set a calendar reminder for dinner with my mother at 4pm.
weather,how is the climate on friday
navigate,Find the address to a chinese restaurant that i could get to the quickest.
weather,find weekly weather forecast
weather,update me on the weekly weather forecast for this week
navigate,Where is the nearest grocery store located?
weather,what's the weather like today and tomorrow
schedule,Schedule an optometrist appointment next Friday at 4 pm with Tom
schedule,schedule a meeting for today
navigate,give me directions to the closest chinese food restaurant
schedule,Please tell me what time my yoga activity is and who will be attending. 
navigate,Find me a gas station that i could get to with the least amount of traffic.
schedule,add meeting in conference room 102 the calendar
weather,tell me what the weather will be like tomorrow
navigate,Where is the rest stop within 2 miles?
weather,please show me the weekly weather report
weather,what's the weather going to be like for this week
weather,is it going to rain this week
navigate,I need a no traffic route to a rest stop. 
navigate,show me the nearest shopping mall
weather,What is the highest temperature in Manhattan in the next 2 days?
weather,what's the weather like today
schedule,Schedule a swimming activity with Ana for the 1st at 2pm.
schedule,confirm meeting for 4:50 pm on the 12th
weather,Please give me the high temperature for New York for the next seven days. 
schedule,What time is the optometrist appointment and who is going?
schedule,remind me to go to the football game on december 12th at 4:50 pm
navigate,Where is there a shopping center within 5 miles?
navigate,give me the location for the nearest starbucks
weather,what is the weather next week in new york
schedule,What is the date and time of my next football activity? 
navigate,take me to the nearest grocery store
schedule,set doctor's appointment for next week
navigate,What is my friend's address?
navigate,Please give me the address and directions via the shortest distance to the nearest pizza place. 
navigate,Are there any Chinese restaurants here?
navigate,Please give the directions to a nearby hospital. 
schedule,What date is my yoga activity and who is attending? 
navigate,I want tea.
schedule,Set a reminder for a meeting to sign the NDA on the 7th at 2pm with the vice president 
weather,give me the 7 day weather forecast
navigate,find the nearest restaurant with chinese take-out
weather,Is it overcast now in Grand Rapids?
navigate,give me directions home
navigate,where can i go to eat
weather,what is the weather going to be like today and tomorrow
weather,check weather for new york city
weather,tell me the temperature for this week
schedule,"Good evening car, Set a reminder about a swimming activity at 3pm, December 10th with aunt, set it for 1pm."
weather,what's the weekly forecast
navigate,Please give me an address and directions via the fastest route to a local grocery store
schedule,what is the agenda of my meeting today
navigate,where is the nearest grocery store
navigate,show me traffic for going home
weather,is it going to snow today
navigate,Where is there a parking garage?
schedule,what is the date for my next yoga appointment
schedule,I need information for my upcoming conference.
schedule,Schedule a dentist appointment with my aunt on the 4th at 6pm.
weather,what is the temperature outside
weather,Will there be hail in Los Angeles today?
navigate,Give me the fastest route to a rest stop .
weather,please tell me the weather for today and tomorrow
schedule,Please remind me I'm going to a swimming party at 5 pm on July 7th with Martha
navigate,find the nearest shopping mall
navigate,Get me the address to a hospital that is no more than 2 miles away.
navigate,can you give me directions to a fast food place that serves pizza
navigate,"Car I want pizza, please send me the address of any pizza restaurant nearby"
schedule,set a reminder for tennis
weather,Is it gonna drizzle in Durham during the week?
schedule,"Set a schedule for a meeting at 5pm, 6th of this month with HR to sign the NDA."
schedule,Schedule a swimming activity with Marie on Sunday at 6pm.
navigate,"Car, what is my home address and can you get us there with no traffic?"
weather,is snow forecasted this week
navigate,find me the best parking spot
navigate,get me directions to a local cafe
navigate,show directions for the nearest grocery store
navigate,find me a nearby parking garage or parking lot
weather,what is the weather forecast for the next 7 days
navigate,show directions for the nearest grocery store
schedule,schedule a work meeting for the conference room this tuesday at 10
schedule,Remind me to go to the optometrist at 5pm today with my father.
schedule,tell me when i have yoga class
weather,what's the temperature outside like today
schedule,who is going to be at the meeting?
navigate,show me directions to the nearest grocery store
schedule,Please look up the date and time of my swimming activity.
weather,what's the weather forecast going to be for each day this upcoming week is it going to snow
weather,what is the forecast for today and tomorrow
schedule,Schedule conference with sales team on the 11th of this month 9am 
weather,Will there be clear skies in Compton on the weekend?
navigate,find the nearest parking lot
navigate,show me the directions to starbucks
navigate,"Car I'm looking for a pizza restaurant within 4 miles of my actual position, possibly with no traffic"
weather,what is the weather like in the city
weather,what is the weather forecast for wednesday through tuesday of next week
weather,what's the weather like
schedule,Set a reminder for me to take my medicine at 10am when I meet with my sister at the end of March.
weather,check weather forecast for seattle
schedule,Schedule a tennis activity with Alex on the 13th at 11am.
weather,Will it hail in Brentwood?
schedule,What is the time and date of my doctor appointment.
weather,Will it be warm on Sunday in Alameda?
schedule,when do i have dinner planned for
weather,will it rain this week
schedule,"I need you to schedule a reminder to take my medicine at 7 pm. Mark it on the 1st, with Ana. Please. "
weather,what is the current temperature
weather,Is there supposed to be a blizzard in brentwood on friday?
schedule,set an appointment for a meeting on my calendar
navigate,find me all the nearest hotels
weather,is it going to snow this week
weather,Will it be cloudy in Los Angeles on Thursday?
weather,which days will be cloudy this week
weather,what is the weather like this week
schedule,I'd like to set a reminder for my meeting at 2pm later this month please.
schedule,set a reminder to go to conference room 104 the meeting on the 12th
weather,Is it gonna rain during the next week in Boston?
navigate,Car I need to go to a shopping center: is there any around me?
weather,what is the weather like today
schedule,when should i take my medicine next
navigate,show me the closest location where i can get chinese food
